172.18.0.1 - - [17/Jul/2026:19:05:21 +0000] "GET /rest/admin/application-version HTTP/2.0" 200 20 "-" "curl/8.19.0" rt=0.008 uct=0.001 urt=0.008
172.18.0.1 - - [17/Jul/2026:19:05:34 +0000] "HEAD / HTTP/1.1" 308 0 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:35 +0000] "" 400 0 "-" "-" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:35 +0000] "HEAD / HTTP/2.0" 200 0 "-" "curl/8.19.0" rt=0.002 uct=0.000 urt=0.002
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 500 3014 "-" "curl/8.19.0" rt=0.004 uct=0.000 urt=0.004
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 500 3014 "-" "curl/8.19.0" rt=0.012 uct=0.000 urt=0.012
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 500 3014 "-" "curl/8.19.0" rt=0.018 uct=0.000 urt=0.018
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 500 3014 "-" "curl/8.19.0" rt=0.026 uct=0.000 urt=0.026
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 429 162 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 500 3014 "-" "curl/8.19.0" rt=0.030 uct=0.000 urt=0.030
172.18.0.1 - - [17/Jul/2026:19:05:41 +0000] "GET /rest/user/login HTTP/2.0" 500 3014 "-" "curl/8.19.0" rt=0.032 uct=0.000 urt=0.032
172.18.0.1 - - [17/Jul/2026:19:05:43 +0000] "" 400 0 "-" "-" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:05:52 +0000] "GET / HTTP/1.0" 408 0 "-" "-" rt=10.008 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:06:10 +0000] "" 400 0 "-" "-" rt=0.000 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:06:22 +0000] "GET / HTTP/1.1" 408 0 "-" "-" rt=10.010 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:06:47 +0000] "GET /" 408 0 "-" "-" rt=10.010 uct=- urt=-
172.18.0.1 - - [17/Jul/2026:19:08:41 +0000] "GET /rest/products/search?q='%20OR%201=1-- HTTP/2.0" 500 942 "-" "curl/8.19.0" rt=0.006 uct=0.000 urt=0.006
172.18.0.1 - - [17/Jul/2026:19:12:36 +0000] "GET /rest/products/search?q='%20OR%201=1-- HTTP/2.0" 500 942 "-" "curl/8.19.0" rt=0.004 uct=0.001 urt=0.005
172.18.0.4 - - [17/Jul/2026:19:16:44 +0000] "GET / HTTP/1.1" 308 164 "-" "curl/8.19.0" rt=0.000 uct=- urt=-
172.18.0.4 - - [17/Jul/2026:19:18:35 +0000] "GET / HTTP/1.1" 200 9903 "-" "curl/8.19.0" rt=0.002 uct=0.000 urt=0.002
172.18.0.1 - - [17/Jul/2026:19:18:46 +0000] "GET /rest/products/search?q='%20OR%201=1-- HTTP/2.0" 500 942 "-" "curl/8.19.0" rt=0.004 uct=0.001 urt=0.004
